id,Vendidos,Precio,Calificación promedio,Número de resenas,Calf_int_1,Calf_int_2,Calf_int_3,Calf_int_4,Calf_int_5,Carac_1,CalfC_1,Carac_2,CalfC_2,Carac_3,CalfC_3,Carac_4,CalfC_4,Carac_5,CalfC_5
BMCDDH,50,599.Nuevo  |  +50 vendidos,4.6,12,83.33%;,8.33%;,0%;,0%;,8.33%;,Relación precio-calidad,4.8,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
5VDTFCRTLA,100,149.40,4.5,52,73.08%;,13.46%;,7.69%;,3.85%;,1.92%;,Relación precio-calidad,4.6,Calidad de los materiales,4.5,Calidad de las terminaciones,4.4,,,,
CBPSYH82,500,185.91,4.7,69,86.96%;,7.25%;,1.45%;,0%;,4.35%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.6,,
1PFAWADH,5mil,129.82,4.7,445,80.67%;,12.58%;,3.6%;,1.12%;,2.02%;,,,,,,,,,,
N2PDRDSAD,50,92.65,4.6,14,78.57%;,14.29%;,0%;,7.14%;,0%;,,,,,,,,,,
CDÁDLVPHOR,100,599.Nuevo  |  +100 vendidos,4.8,66,84.85%;,10.61%;,0%;,4.55%;,0%;,Relación precio-calidad,4.6,Calidad de la imagen,4.7,Calidad de las terminaciones,4.5,,,,
C6DAVLCOLFPTEBCJ,100,506.22,4.6,14,85.71%;,7.14%;,0%;,0%;,7.14%;,,,,,,,,,,
CO4UDTPCTT,1000,155.79,4.7,280,80.36%;,12.14%;,4.29%;,1.79%;,1.43%;,,,,,,,,,,
RA2PD1DPB,100,99.Nuevo  |  +100 vendidos,4.4,13,84.62%;,0%;,0%;,0%;,15.38%;,,,,,,,,,,
CBPVHS1,100,207.20,4.9,9,88.89%;,11.11%;,0%;,0%;,0%;,Relación precio-calidad,5,Instalación,5,Calidad de los materiales,4.7,Resistencia,4.7,,
AÁPDFFPP,50,206.96,5.0,6,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,5,Calidad de las terminaciones,4.6,,,,
CLLBFNU3BF,500,96.Nuevo  |  +500 vendidos,4.6,28,82.14%;,7.14%;,3.57%;,3.57%;,3.57%;,,,,,,,,,,
6PDDRRA,500,189.72,4.8,73,86.3%;,12.33%;,1.37%;,0%;,0%;,,,,,,,,,,
P5PDFA,50,101.09,4.0,8,50%;,25%;,12.5%;,0%;,12.5%;,,,,,,,,,,
CN6*CCA4P,1000,379.Nuevo  |  +1000 vendidos,4.5,285,72.28%;,15.79%;,7.02%;,2.46%;,2.46%;,Calidad de los materiales,4.2,Relación precio-calidad,4.4,Instalación,4.7,Resistencia,4.1,,
RDPLRCTY8A3C,100,399.20,4.2,18,72.22%;,5.56%;,5.56%;,5.56%;,11.11%;,Relación precio-calidad,4.5,Calidad de los materiales,4.5,,,,,,
CDTW,100,308.75,4.9,15,93.33%;,6.67%;,0%;,0%;,0%;,Relación precio-calidad,4.7,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
CDLLS2L2D2P,1000,375.Nuevo  |  +1000 vendidos,4.6,182,79.67%;,9.89%;,2.75%;,2.75%;,4.95%;,Relación precio-calidad,4.7,Calidad de la iluminación,4.5,,,,,,
BDH5BMDHPP,100,140.Nuevo  |  +100 vendidos,4.4,5,80%;,0%;,0%;,20%;,0%;,,,,,,,,,,
PDH3IP51,100,735.16,4.9,9,88.89%;,11.11%;,0%;,0%;,0%;,,,,,,,,,,
GDL2FL1EV,1000,294.27,4.8,85,87.06%;,9.41%;,1.18%;,1.18%;,1.18%;,,,,,,,,,,
CBEMPS,100,114.25,4.1,40,62.5%;,12.5%;,7.5%;,2.5%;,15%;,Calidad de los materiales,4.3,Resistencia,4.2,Relación precio-calidad,4.4,Instalación,4.7,,
BDHGFBEO,50,106.63,4.5,8,87.5%;,0%;,0%;,0%;,12.5%;,,,,,,,,,,
CCDHMPMM,100,499.Nuevo  |  +100 vendidos,4.6,23,78.26%;,8.7%;,8.7%;,0%;,4.35%;,Relación precio-calidad,4.1,Calidad de la imagen,4.6,Calidad de las terminaciones,4.3,,,,
CB1PVD2,1000,226.72,4.8,366,87.16%;,9.84%;,1.64%;,0.82%;,0.55%;,Relación precio-calidad,4.8,Calidad de los materiales,4.7,Instalación,4.9,Resistencia,4.8,,
CAP1OHCT,100,178.80,4.3,11,63.64%;,18.18%;,9.09%;,0%;,9.09%;,,,,,,,,,,
GDL2FDEVI,100mil,197.33,4.7,"3,829",83.36%;,11.23%;,2.85%;,0.68%;,1.88%;,,,,,,,,,,
GDLS16FEJ8M,10mil,156.14,4.3,"2,933",65.05%;,16.74%;,8.93%;,3.78%;,5.49%;,Relación precio-calidad,4.4,Calidad de la iluminación,4,,,,,,
CBOTCPS,100,147.65,5.0,25,96%;,4%;,0%;,0%;,0%;,Relación precio-calidad,5,Instalación,4.7,Calidad de los materiales,5,Resistencia,5,,
PRPLLDFC3,1000,157.32,4.8,228,83.33%;,11.84%;,3.51%;,0.88%;,0.44%;,Calidad de los materiales,4.7,Relación precio-calidad,5,,,,,,
S2CBMMMM,100,586.95,4.5,41,73.17%;,14.63%;,4.88%;,7.32%;,0%;,Calidad de las terminaciones,4.3,Relación precio-calidad,4.5,Calidad de la imagen,4.3,,,,
RJDNLLNSL,500,140.Nuevo  |  +500 vendidos,4.8,71,87.32%;,8.45%;,0%;,2.82%;,1.41%;,Relación precio-calidad,4.8,Calidad de la iluminación,4.8,,,,,,
EDPDADPP,100,218.11,4.1,12,50%;,33.33%;,0%;,8.33%;,8.33%;,,,,,,,,,,
CBPV12,500,283.10,4.9,69,92.75%;,4.35%;,0%;,1.45%;,1.45%;,Relación precio-calidad,4.8,Resistencia,4.6,Calidad de los materiales,4.6,Instalación,4.8,,
2PCBDVS,100,189.Nuevo  |  +100 vendidos,4.0,26,50%;,19.23%;,11.54%;,15.38%;,3.85%;,Relación precio-calidad,4.3,Calidad de los materiales,4,Resistencia,4.1,Instalación,4.7,,
CCMAEXSM,100,619.50,4.9,25,92%;,8%;,0%;,0%;,0%;,Relación precio-calidad,4.9,Calidad de la imagen,4.7,Calidad de las terminaciones,4.7,,,,
TDLLAWRVCI2,500,332.35,4.6,77,76.62%;,10.39%;,9.09%;,1.3%;,2.6%;,Relación precio-calidad,4.5,Calidad de la iluminación,4.8,,,,,,
2PAH1TPF,1000,98.67,4.8,280,86.43%;,8.93%;,2.5%;,1.43%;,0.71%;,,,,,,,,,,
1CD2LLADCG2,25,275.Nuevo  |  +25 vendidos,5.0,5,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la iluminación,5,,,,,,
PAC4HHD,100,118.75,4.0,5,40%;,40%;,0%;,20%;,0%;,,,,,,,,,,
VLRACR3P,1000,480.18,4.7,120,83.33%;,10%;,2.5%;,1.67%;,2.5%;,Relación precio-calidad,4.5,Calidad de los materiales,4.8,Calidad de las terminaciones,4.6,,,,
LLD4FD6MDPN,500,89.01,4.7,10,80%;,10%;,10%;,0%;,0%;,,,,,,,,,,
CB2AX2DLE2P,5mil,477.76,4.7,533,83.49%;,10.32%;,3.56%;,1.13%;,1.5%;,Relación precio-calidad,4.7,Calidad de los materiales,4.7,Resistencia,4.7,Instalación,4.9,,
BDBID1P,25,301.19,5.0,3,100%;,0%;,0%;,0%;,0%;,,,,,,,,,,
UBVQSLCRALP,100,261.73,4.2,20,60%;,15%;,15%;,5%;,5%;,Relación precio-calidad,3.7,Es liviano,4.2,Calidad de los materiales,3.7,,,,
BDTAFDFA,1000,79.60,4.4,198,70.2%;,14.65%;,7.58%;,3.03%;,4.55%;,,,,,,,,,,
3SPDBD5,100,197.65,5.0,16,100%;,0%;,0%;,0%;,0%;,Relación precio-calidad,5,Calidad de la imagen,5,Calidad de las terminaciones,5,,,,
LPBLCTL221,10mil,121.99,4.7,722,81.86%;,13.43%;,3.05%;,1.11%;,0.55%;,,,,,,,,,,
RDLCRPYPG,1000,285.44,4.6,406,74.88%;,16.01%;,3.94%;,2.96%;,2.22%;,Relación precio-calidad,4.6,Facilidad de uso,4.2,Calidad de los materiales,4.4,Duración de la batería,4.1,,
FADGD1P1P,100,135.71,4.7,6,66.67%;,33.33%;,0%;,0%;,0%;,,,,,,,,,,
2PCBTD1,500,274.62,4.7,59,76.27%;,18.64%;,3.39%;,0%;,1.69%;,Calidad de los materiales,4.5,Relación precio-calidad,4.7,Instalación,4.8,Resistencia,4.6,,
CMDBTTFA4,5,549.Nuevo  |  +5 vendidos,4.0,6,66.67%;,0%;,16.67%;,0%;,16.67%;,Relación precio-calidad,4.2,Calidad de la imagen,4.2,Calidad de las terminaciones,4.2,,,,
HDLCEC2L3,100,179.99,4.4,7,57.14%;,28.57%;,14.29%;,0%;,0%;,Relación precio-calidad,4.4,Calidad de la iluminación,4.2,,,,,,
CDCVM2P,100,164.43,4.7,58,82.76%;,8.62%;,3.45%;,1.72%;,3.45%;,Relación precio-calidad,4.7,Resistencia,4.6,Instalación,4.7,Calidad de los materiales,4.7,,
CBPSA2C2P,100,467.37,4.8,27,92.59%;,3.7%;,0%;,0%;,3.7%;,Relación precio-calidad,4.7,Instalación,4.8,Calidad de los materiales,4.8,Resistencia,4.8,,
RDDLGPDH,100,295.26,4.7,23,78.26%;,8.7%;,13.04%;,0%;,0%;,Relación precio-calidad,4.6,Facilidad de uso,4.6,Calidad de los materiales,4.6,Duración de la batería,4.2,,
